canonical_game_key,game_name,developer,game_url,kongregate_game_ids,best_rank,top_n_appearances,ranking_types,observed_categories,category_tags,platform_flags,facebook_social_candidate,classification_confidence,classification_signals,first_observed_date,first_observed_source,first_ranked_date,first_play_history_date,first_live_metric_date,likely_added_date,likely_added_date_confidence,last_observed_date,last_observed_source,last_ranked_date,last_play_history_date,last_live_metric_date,current_live_metric_status,latest_live_metric_attempt_date,removal_evidence_status,removal_evidence_type,observed_removed_after_date,observed_removed_by_date,removal_confidence,metrics_rows,listing_play_count_rows,max_play_count_observed,page_gap_status,metrics_audit_status,count_source_probe_status,notes
www.kongregate.com/games/arckaon/rpgcorp,RPGCorp,Arckaon,https://www.kongregate.com/games/Arckaon/rpgcorp,243840,2,1,newest,,,,no,,,2021-11-12,ranked_list,2021-11-12,2026-06-29,2026-06-29,2021-11-12,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2021-11-12,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,0,1220,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/mrfunnyguy1/scary-shooter,Scary Shooter,mrfunnyguy1,http://www.kongregate.com/games/mrfunnyguy1/scary-shooter,,2,1,newest,,,,no,,,2011-07-05,ranked_list,2011-07-05,2026-06-30,2026-06-30,2011-07-05,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2011-07-05,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1129,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/turbonuke/score-the-goal,Score The Goal,,http://www.kongregate.com/games/turboNuke/score-the-goal,212634,2,1,newest,,,,no,,,2014-06-20,ranked_list,2014-06-20,2026-06-30,2026-06-30,2014-06-20,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2014-06-20,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,5896,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/tictox/sheep-dash,Sheep Dash,tictox,http://www.kongregate.com/games/tictox/sheep-dash,,2,1,newest,,,,no,,,2011-07-13,ranked_list,2011-07-13,2026-06-30,2026-06-30,2011-07-13,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2011-07-13,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,917,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/dha456/shoot-em-up,Shoot em up,dha456,http://www.kongregate.com/games/dha456/shoot-em-up,,2,1,newest,,,,no,,,2010-11-23,ranked_list,2010-11-23,2026-06-29,2026-06-29,2010-11-23,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2010-11-23,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1213,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/ergomesmart/shoot-a-story,Shoot-a Story,,http://www.kongregate.com/games/ErgoMeSmart/shoot-a-story,216140,2,1,newest,,,,no,,,2014-07-30,ranked_list,2014-07-30,2026-06-30,2026-06-30,2014-07-30,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2014-07-30,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,286,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/mafagames/sky-knight,Sky Knight,mafagames,http://www.kongregate.com/games/mafagames/sky-knight,280875,2,1,newest,,,,no,,,2017-05-16,ranked_list,2017-05-16,,,2017-05-16,observed_first_seen_not_launch_date,2017-05-16,ranked_list,2017-05-16,,,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2017-05-16,2026-07-01,low_game_page_not_verified,0,0,0,dynamic_metrics_placeholder,no_cdx,archived_endpoint_hit_no_count,"Live metrics endpoint failure is removal evidence only for the metrics endpoint; game-page availability needs direct verification. Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/itachiu99/slenderman-must-die,Slenderman must die,,http://www.kongregate.com/games/ItachiU99/slenderman-must-die,215746,2,1,newest,,,,no,,,2014-07-26,ranked_list,2014-07-26,2026-06-30,2026-06-30,2014-07-26,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2014-07-26,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1504,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/doodler_101/snake,Snake,Doodler_101,https://www.kongregate.com/games/Doodler_101/snake,311330,2,1,newest,,,,no,,,2019-08-25,ranked_list,2019-08-25,2026-06-30,2026-06-30,2019-08-25,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2019-08-25,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,0,72,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/game4joy1/spongebob-save-crab,SpongeBob Save Crab,game4joy1,http://www.kongregate.com/games/game4joy1/spongebob-save-crab,221830,2,1,newest,,,,no,,,2014-10-09,ranked_list,2014-10-09,2026-06-29,2026-06-29,2014-10-09,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2014-10-09,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,0,432,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
