date,game_name,game_url,plays_count_observed,favorites_count_observed,plays_text,favorites_text,metrics_url,capture_timestamp,capture_url,parser,confidence,notes
2023-12-26,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46684387,80592,"46,684,387","80,592",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20231226145446,https://web.archive.org/web/20231226145446/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231226145446_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_11be2543bba50221.json
2024-01-19,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46692641,80600,"46,692,641","80,600",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240119214809,https://web.archive.org/web/20240119214809/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240119214809_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_9dbf0018a338f446.json
2024-01-19,Platform Racing 2,http://www.kongregate.com/games/Jiggmin/platform-racing-2,33514293,77495,"33,514,293","77,495",http://www.kongregate.com/games/Jiggmin/platform-racing-2/metrics.json,20240119235735,https://web.archive.org/web/20240119235735/http://www.kongregate.com/games/Jiggmin/platform-racing-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240119235735_http_www.kongregate.com_games_Jiggmin_platform-racing-2_metrics.json_149c919be2d443e4.json
2024-01-21,Infectonator : World D...,http://www.kongregate.com/games/TogeProductions/infectonator-world-dominator,9006024,81810,"9,006,024","81,810",https://www.kongregate.com/games/TogeProductions/infectonator-world-dominator/metrics.json,20240121135625,https://web.archive.org/web/20240121135625/https://www.kongregate.com/games/TogeProductions/infectonator-world-dominator/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240121135625_https_www.kongregate.com_games_TogeProductions_infectonator-world-dominator_metrics.json_b35dd96ff025b3e8.json
2024-01-21,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46693234,80600,"46,693,234","80,600",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240121144727,https://web.archive.org/web/20240121144727/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240121144727_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_94375ff909a758fd.json
2024-01-21,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46693283,80600,"46,693,283","80,600",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240121173239,https://web.archive.org/web/20240121173239/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240121173239_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_1d03172fbbe2f243.json
2024-01-22,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31609334,203438,"31,609,334","203,438",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20240122150317,https://web.archive.org/web/20240122150317/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240122150317_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_6cdd2b483650616b.json
2024-01-29,Swords and Souls,http://www.kongregate.com/games/SoulGame/swords-and-souls,13107038,117678,"13,107,038","117,678",https://www.kongregate.com/games/SoulGame/swords-and-souls/metrics.json,20240129190032,https://web.archive.org/web/20240129190032/https://www.kongregate.com/games/SoulGame/swords-and-souls/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240129190032_https_www.kongregate.com_games_SoulGame_swords-and-souls_metrics.json_cad46bb351e0be0b.json
2024-02-02,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31617608,203464,"31,617,608","203,464",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20240202172455,https://web.archive.org/web/20240202172455/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240202172455_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_9bcadc5574d2dfb7.json
2024-02-22,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46704818,80614,"46,704,818","80,614",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240222221224,https://web.archive.org/web/20240222221224/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240222221224_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_21951c7b26975925.json
2024-05-11,Bloons TD 5,http://www.kongregate.com/games/Ninjakiwi/bloons-td-5,35279459,228588,"35,279,459","228,588",https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,20240511022314,https://web.archive.org/web/20240511022314/https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240511022314_https_www.kongregate.com_games_Ninjakiwi_bloons-td-5_metrics.json_051acd4aba159032.json
