canonical_game_key,game_name,developer,game_url,best_rank,top_n_appearances,first_observed_date,likely_added_date,observed_categories,primary_genre,genre_tags,genre_confidence,engagement_tags,engagement_confidence,social_platform_status,social_platform_confidence,social_platform_signals,developer_group_key,developer_catalog_game_count,series_group_key,series_catalog_game_count,classification_confidence,classification_signals,review_status,taxonomy_version
www.kongregate.com/games/brinemedia/zombie-derby-2,Zombie Derby 2,BrineMedia,https://www.kongregate.com/en/games/BrineMedia/zombie-derby-2,8,30,2024-06-05,2017-03-22,action,action,action,high_observed_category,,none,not_assessed,none,,brinemedia,1,,0,high,observed_category:action,ready,1.0.0
www.kongregate.com/games/herointeractive/bubble-tanks,Bubble Tanks,HeroInteractive,http://www.kongregate.com/games/HeroInteractive/bubble-tanks,8,24,2008-02-25,2008-02-25,shooter,shooter,shooter,high_observed_category,,none,not_assessed,none,,herointeractive,8,herointeractive:bubble-tanks,3,high,observed_category:shooter; same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/kekgames/rhomb,Rhomb,KekGames,https://www.kongregate.com/games/KekGames/rhomb,8,19,2019-07-02,2017-05-02,puzzle,puzzle,puzzle,high_observed_category,,none,not_assessed,none,,kekgames,6,,0,high,observed_category:puzzle,ready,1.0.0
www.kongregate.com/games/offthewrist/sola-rola-the-gravity-maze,Sola Rola - The Gravity Maze,offthewrist,http://www.kongregate.com/games/offthewrist/sola-rola-the-gravity-maze,8,18,2008-02-22,2008-02-22,puzzle,puzzle,puzzle,high_observed_category,,none,not_assessed,none,,offthewrist,1,,0,high,observed_category:puzzle,ready,1.0.0
www.kongregate.com/games/box10guys/whack-the-thief,Whack the Thief,box10Guys,https://www.kongregate.com/games/box10Guys/whack-the-thief,8,18,2024-01-17,2012-11-27,action,action,action,high_observed_category,,none,not_assessed,none,,box10guys,4,,0,high,observed_category:action,ready,1.0.0
www.kongregate.com/games/fractalsunrise/knight-errant,Knight-errant,FractalSunrise,https://www.kongregate.com/en/games/FractalSunrise/knight-errant,8,16,2020-04-17,2020-01-29,puzzle,puzzle,puzzle,high_observed_category,,none,not_assessed,none,,fractalsunrise,1,,0,high,observed_category:puzzle,ready,1.0.0
www.kongregate.com/games/kanoapps/mob-wars-la-cosa-nostra,Mob Wars: La Cosa Nostra,kanoapps,https://www.kongregate.com/games/kanoapps/mob-wars-la-cosa-nostra,8,16,2020-07-25,2012-12-13,multiplayer,multiplayer,multiplayer,high_observed_category,online_multiplayer,high_observed_category,publisher_portfolio_candidate,medium_curated_publisher,publisher_signal:kanoapps,kanoapps,1,,0,high,observed_category:multiplayer; observed_category:multiplayer; publisher_signal:kanoapps,review_social_platform,1.0.0
www.kongregate.com/games/greensatellite/trimps-preview,Trimps Preview,GreenSatellite,http://www.kongregate.com/games/GreenSatellite/trimps-preview,8,15,2015-07-26,2015-07-26,idle,idle_incremental,idle_incremental,high_observed_category,idle_progression,high_observed_category,not_assessed,none,,greensatellite,2,,0,high,observed_category:idle_incremental; observed_category:idle,ready,1.0.0
www.kongregate.com/games/twinklestargames/electric-box,Electric Box,TwinkleStarGames,http://www.kongregate.com/games/TwinkleStarGames/electric-box,8,11,2009-02-20,2009-02-19,puzzle,puzzle,puzzle,high_observed_category,,none,not_assessed,none,,twinklestargames,2,twinklestargames:electric-box,2,high,observed_category:puzzle; same_developer_series_stem,ready,1.0.0
www.kongregate.com/games/coolio_niato/light-bot,light-Bot,Coolio_Niato,http://www.kongregate.com/games/Coolio_Niato/light-bot,8,10,2008-11-02,2008-11-02,puzzle,puzzle,puzzle,high_observed_category,,none,not_assessed,none,,coolio-niato,1,,0,high,observed_category:puzzle,ready,1.0.0
www.kongregate.com/games/tomylee/rapid-reaction-master,Rapid Reaction Master,tomylee,http://www.kongregate.com/games/tomylee/rapid-reaction-master,8,9,2007-01-27,2007-01-24,,unclassified,,none,,none,not_assessed,none,,tomylee,1,,0,none,,ready,1.0.0
www.kongregate.com/games/newproject1/idle-evolution,Idle Evolution,NewProject1,http://www.kongregate.com/games/NewProject1/idle-evolution,8,8,2015-02-16,2014-09-23,idle,idle_incremental,idle_incremental,high_observed_category,idle_progression,high_observed_category,not_assessed,none,,newproject1,1,,0,high,observed_category:idle_incremental; observed_category:idle,ready,1.0.0
