status,followup_tier,game_name,game_url,canonical_game_key,best_rank,first_seen_date,endpoint_observations,candidates_with_cdx_rows,failed_observations,unresolved_failed_endpoints,parsed_probe_count_rows,recovered_count_rows,source_types_seen,latest_probe_run_timestamp
no_archived_endpoint_rows_observed,,Evolve,http://www.kongregate.com/games/MohtashamS/evolve,www.kongregate.com/games/mohtashams/evolve,,,13,0,5,0,0,0,chat_achievements;chat_js;holodeck;metrics_json,2026-07-03T18:15:49Z
no_archived_endpoint_rows_observed,,Extreme OffRoad Cars,http://www.kongregate.com/games/vitalitygames/extreme-offroad-cars,www.kongregate.com/games/vitalitygames/extreme-offroad-cars,,,4,0,2,0,0,0,metrics_json,2026-07-03T20:53:57Z
no_archived_endpoint_rows_observed,,EZ MONEY ALL DAYYY,http://www.kongregate.com/games/colenye/ez-money-all-dayyy,www.kongregate.com/games/colenye/ez-money-all-dayyy,,,4,0,2,0,0,0,metrics_json,2026-07-03T18:39:36Z
no_archived_endpoint_rows_observed,,Facility Escape,http://www.kongregate.com/games/bakuriu4/facility-escape,www.kongregate.com/games/bakuriu4/facility-escape,,,2,0,0,0,0,0,metrics_json,2026-07-03T20:39:53Z
recovered_count,,Factory Balls forever,https://www.kongregate.com/games/bontegames/factory-balls-forever,www.kongregate.com/games/bontegames/factory-balls-forever,,,12,10,2,0,10,5,metrics_json,2026-07-03T19:23:05Z
recovered_count,,Factory idle,https://www.kongregate.com/games/Baldurans/factory-idle,www.kongregate.com/games/baldurans/factory-idle,,,12,12,0,0,12,6,metrics_json,2026-07-03T15:26:10Z
recovered_count,,Falling Sands,http://www.kongregate.com/games/ajs11893/falling-sands,www.kongregate.com/games/ajs11893/falling-sands,,,8,8,0,0,7,4,metrics_json,2026-07-03T17:17:12Z
recovered_count,,Famous Paintings Parodies,http://www.kongregate.com/games/Munguia/famous-paintings-parodies,www.kongregate.com/games/munguia/famous-paintings-parodies,,,4,4,0,0,4,2,metrics_json,2026-07-03T22:02:03Z
no_archived_endpoint_rows_observed,,Fantasy Pyramid Solitaire,http://www.kongregate.com/games/Vegarius/fantasy-pyramid-solitaire,www.kongregate.com/games/vegarius/fantasy-pyramid-solitaire,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:34:27Z
no_archived_endpoint_rows_observed,,Far Away Home - Alpha gameplay,http://www.kongregate.com/games/MiniLimoStudio/far-away-home-alpha-gameplay,www.kongregate.com/games/minilimostudio/far-away-home-alpha-gameplay,,,2,0,0,0,0,0,metrics_json,2026-07-03T18:57:31Z
