pattern_id,original_url,year,month,week_start,capture_count,usable_html_count,first_capture_timestamp,last_capture_timestamp,sample_capture_url,status_codes_seen,mime_types_seen,notes
pat_001,https://www.kongregate.com/,2008,04,2008-04-14,7,7,20080414132759,20080420053708,https://web.archive.org/web/20080414132759/http://www.kongregate.com.:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,04,2008-04-21,6,6,20080421144834,20080426195553,https://web.archive.org/web/20080421144834/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,04,2008-04-28,2,2,20080428061526,20080429163655,https://web.archive.org/web/20080428061526/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,05,2008-04-28,3,3,20080501134250,20080504023159,https://web.archive.org/web/20080501134250/http://www.kongregate.com:80/?,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,05,2008-05-05,3,3,20080506105246,20080510230751,https://web.archive.org/web/20080506105246/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,05,2008-05-12,5,5,20080512175839,20080517022141,https://web.archive.org/web/20080512175839/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,05,2008-05-19,1,1,20080524042955,20080524042955,https://web.archive.org/web/20080524042955/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,05,2008-05-26,4,4,20080526232922,20080531005451,https://web.archive.org/web/20080526232922/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,06,2008-05-26,1,1,20080601014700,20080601014700,https://web.archive.org/web/20080601014700/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,06,2008-06-02,6,6,20080602025202,20080608132617,https://web.archive.org/web/20080602025202/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,06,2008-06-09,10,10,20080609033156,20080615140526,https://web.archive.org/web/20080609033156/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,06,2008-06-16,5,5,20080616065133,20080621160303,https://web.archive.org/web/20080616065133/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,06,2008-06-23,8,8,20080623221313,20080629191800,https://web.archive.org/web/20080623221313/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,06,2008-06-30,1,1,20080630013206,20080630013206,https://web.archive.org/web/20080630013206/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,07,2008-06-30,10,10,20080701054959,20080706003230,https://web.archive.org/web/20080701054959/http://www.kongregate.com:80/?,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,07,2008-07-07,12,12,20080707013456,20080713162733,https://web.archive.org/web/20080707013456/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,07,2008-07-14,11,11,20080714092134,20080720153915,https://web.archive.org/web/20080714092134/http://www.kongregate.com:80/?,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,07,2008-07-21,12,12,20080721070241,20080727234317,https://web.archive.org/web/20080721070241/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,07,2008-07-28,3,3,20080729012119,20080730191204,https://web.archive.org/web/20080729012119/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,08,2008-08-04,11,11,20080805012326,20080810041726,https://web.archive.org/web/20080805012326/http://www.kongregate.com:80/?,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,08,2008-08-11,13,13,20080811003337,20080817205630,https://web.archive.org/web/20080811003337/http://www.kongregate.com.:80/?,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,08,2008-08-18,13,13,20080818101144,20080824130807,https://web.archive.org/web/20080818101144/http://www.kongregate.com.:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,08,2008-08-25,14,14,20080825112532,20080831210648,https://web.archive.org/web/20080825112532/http://www.kongregate.com.:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,09,2008-09-01,16,16,20080901013907,20080907214528,https://web.archive.org/web/20080901013907/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,09,2008-09-08,11,11,20080908072306,20080914185217,https://web.archive.org/web/20080908072306/http://www.kongregate.com/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,09,2008-09-15,8,8,20080915222249,20080920162359,https://web.archive.org/web/20080915222249/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,09,2008-09-22,8,8,20080922211402,20080926194024,https://web.archive.org/web/20080922211402/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,09,2008-09-29,4,4,20080929052932,20080930163727,https://web.archive.org/web/20080929052932/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
pat_001,https://www.kongregate.com/,2008,10,2008-09-29,6,6,20081001195533,20081005230636,https://web.archive.org/web/20081001195533/http://www.kongregate.com:80/,200,text/html,Digest-collapsed pilot coverage bucket.
